date,close,volume,open,high,low
2019/07/01,$201.55,27316740.0,203.17,204.49,200.65
2019/06/28,$197.92,31110640.0,198.68,199.495,197.05
2019/06/27,$199.74,20899720.0,200.29,201.57,199.57
2019/06/26,$199.8,26067510.0,197.77,200.99,197.35
2019/06/25,$195.57,21070330.0,198.43,199.26,195.29
2019/06/24,$198.58,18220420.0,198.54,200.16,198.17
2019/06/21,$198.78,47800590.0,198.8,200.85,198.15
2019/06/20,$199.46,21513990.0,200.37,200.61,198.03
2019/06/19,$197.87,21124240.0,199.68,199.88,197.31
2019/06/18,$198.45,26551000.0,196.05,200.29,195.21
2019/06/17,$193.89,14669140.0,192.9,194.96,192.17
2019/06/14,$192.74,18761470.0,191.545,193.5863,190.3
2019/06/13,$nan,,,,
2019/06/12,$194.19,18253190.0,193.95,195.97,193.385
2019/06/11,$194.81,26932880.0,194.86,196.0,193.6
2019/06/10,$192.58,26220850.0,191.81,195.37,191.62
2019/06/07,$190.15,30684390.0,186.51,191.92,185.77
2019/06/06,$185.22,22526310.0,183.08,185.47,182.1489
2019/06/05,$182.54,29773430.0,184.28,184.99,181.14
2019/06/04,$179.64,30967960.0,175.44,179.83,174.52
2019/06/03,$173.3,40396070.0,175.6,177.92,170.27
2019/05/31,$175.07,27043580.0,176.23,177.99,174.99
2019/05/30,$178.3,21218410.0,177.95,179.23,176.67
2019/05/29,$177.38,28481170.0,176.42,179.35,176.0
2019/05/28,$178.23,27948160.0,178.92,180.59,177.91
2019/05/24,$17897.0,23714690.0,180.2,182.14,178.62
2019/05/23,$179.66,36529740.0,179.8,180.54,177.81
2019/05/22,$182.78,29748560.0,184.66,185.71,182.55
2019/05/21,$186.6,28364850.0,185.22,188.0,184.7
2019/05/20,$183.09,38612290.0,183.52,184.349,180.2839
2019/05/17,$189.0,32879090.0,186.93,190.9,186.76
2019/05/16,$190.08,33031360.0,189.91,192.4689,188.84
2019/05/15,$190.92,26544720.0,186.27,191.75,186.02
2019/05/14,$188.66,36529680.0,186.41,189.7,185.41
2019/05/13,$185.72,57430620.0,187.71,189.48,182.85
2019/05/10,$197.18,41208710.0,197.419,198.85,192.77
2019/05/09,$200.72,34908610.0,200.4,201.68,196.66
2019/05/08,$202.9,26339500.0,201.9,205.34,201.75
2019/05/07,$202.86,38763700.0,205.88,207.4175,200.825
2019/05/06,$208.48,32443110.0,204.29,208.84,203.5
2019/05/03,$211.75,20892380.0,210.89,211.84,210.23
2019/05/02,$209.15,31996320.0,209.84,212.65,208.13
2019/05/01,$210.52,64827330.0,209.88,215.31,209.23
2019/04/30,$200.67,45751160.0,203.06,203.4,199.11
2019/04/29,$204.61,22010360.0,204.4,205.97,203.86
2019/04/26,$204.3,18612770.0,204.9,205.0,202.12
2019/04/25,$205.28,18463850.0,206.83,207.76,205.12
2019/04/24,$207.16,17427570.0,207.36,208.48,207.05
2019/04/23,$207.48,23286380.0,204.43,207.75,203.9
2019/04/22,$204.53,17841920.0,202.83,204.94,202.34
2019/04/18,$20386.0,24185530.0,203.12,204.15,202.52
2019/04/17,$203.13,28865310.0,199.54,203.38,198.61
2019/04/16,$199.25,25668330.0,199.46,201.37,198.56
2019/04/15,$199.23,17524150.0,198.58,199.85,198.01
2019/04/12,$198.87,27738580.0,199.2,200.14,196.21
2019/04/11,$198.95,20543190.0,200.85,201.0,198.4431
2019/04/10,$200.62,21654750.0,198.68,200.74,198.18
2019/04/09,$199.5,35738280.0,200.32,202.85,199.23
2019/04/08,$200.1,25829880.0,196.42,200.23,196.34
2019/04/05,$197.0,18473070.0,196.45,197.1,195.93
2019/04/04,$195.69,19090050.0,194.79,196.37,193.14
2019/04/03,$195.35,23243160.0,193.25,196.5,193.15
2019/04/02,$194.02,22727370.0,191.09,194.46,191.05
2019/04/01,$191.24,27308200.0,191.64,191.68,188.38
2019/03/29,$189.95,23524830.0,189.83,190.08,188.54
2019/03/28,$188.72,20710390.0,188.95,189.55900000000003,187.53
2019/03/27,$188.47,29771210.0,188.75,189.76,186.55
2019/03/26,$186.79,49696100.0,191.664,,
2019/03/25,$188.74,43751810.0,191.51,191.98,186.6
2019/03/22,$191.05,42287640.0,195.34,197.69,190.78
2019/03/21,$195.09,50943120.0,190.02,196.33,189.81
2019/03/20,$188.16,31003380.0,186.23,189.49,184.73
2019/03/19,$186.53,31440300.0,188.35,188.99,185.92
2019/03/18,$188.02,26148590.0,185.8,188.39,185.79
2019/03/15,$186.12,39017490.0,184.85,187.33,183.74
2019/03/14,$183.73,23527660.0,183.9,184.1,182.56
2019/03/13,$181.71,30929740.0,182.25,183.3,180.92
2019/03/12,$180.91,32416800.0,180.0,182.67,179.37
2019/03/11,$178.9,31123000.0,175.49,179.12,175.35
2019/03/08,$172.91,23985960.0,170.32,173.07,169.5
2019/03/07,$172.5,24755470.0,173.87,174.44,172.02
2019/03/06,$174.52,20755140.0,174.67,175.49,173.94
2019/03/05,$175.53,19238480.0,175.94,176.0,174.54
2019/03/04,$175.85,27413060.0,175.69,177.75,173.97
2019/03/01,$174.97,25737560.0,174.28,175.15,172.89
2019/02/28,$173.15,27953810.0,174.32,174.91,172.92
2019/02/27,$174.87,27817640.0,173.21,175.0,172.73
2019/02/26,$174.33,16991610.0,173.71,175.3,173.1732
2019/02/25,$174.23,21846400.0,174.16,175.87,173.95
2019/02/22,$172.97,18890250.0,171.58,173.0,171.38
2019/02/21,$171.06,17154540.0,171.8,172.37,170.3
2019/02/20,$172.03,25323890.0,171.19,173.32,170.99
2019/02/19,$170.93,18958570.0,169.71,171.44,169.49
2019/02/15,$170.42,24603320.0,171.25,171.7,169.75
2019/02/14,$170.8,21785180.0,169.71,171.2615,169.38
2019/02/13,$170.18,22389660.0,171.39,172.48,169.92
2019/02/12,$170.89,22224400.0,170.1,171.0,169.7
2019/02/11,$169.43,20940020.0,171.05,171.21,169.25
2019/02/08,$170.41,23793830.0,168.99,170.66,168.42
2019/02/07,$170.94,31644240.0,172.4,173.94,170.34
2019/02/06,$174.24,28204640.0,174.65,175.57,172.8531
2019/02/05,$174.18,36054570.0,172.86,175.08,172.3501
2019/02/04,$171.25,31384720.0,167.41,171.655,167.28
2019/02/01,$166.52,32644590.0,166.96,168.98,165.93
2019/01/31,$166.44,40613260.0,166.11,169.0,164.56
2019/01/30,$165.25,60800480.0,163.25,166.15,160.23
2019/01/29,$154.68,39914850.0,156.25,158.13,154.11
2019/01/28,$156.3,26147280.0,155.79,156.33,153.66
2019/01/25,$157.76,33508960.0,155.48,158.13,154.32
2019/01/24,$152.7,25418110.0,154.11,154.48,151.74
2019/01/23,$153.92,23046560.0,154.15,155.14,151.7
2019/01/22,$153.3,30273990.0,156.41,156.73,152.62
2019/01/18,$156.82,33259460.0,157.5,157.88,155.9806
2019/01/17,$155.86,29616190.0,154.2,157.66,153.26
2019/01/16,$154.94,30483120.0,153.08,155.88,153.0
2019/01/15,$153.07,28449940.0,150.27,153.39,150.05
2019/01/14,$150.0,32018540.0,150.85,151.27,149.22
2019/01/11,$152.29,26924630.0,152.88,153.7,151.51
2019/01/10,$153.8,35661200.0,152.5,153.97,150.86
2019/01/09,$153.31,45034370.0,151.29,154.53,149.63
2019/01/08,$150.75,40622910.0,149.56,151.82,148.52
2019/01/07,$147.93,54571440.0,148.7,148.83,145.9
2019/01/04,$148.26,57423650.0,144.53,148.5499,143.8
2019/01/03,$142.19,91106840.0,143.98,145.72,142.0
2019/01/02,$157.92,35637070.0,154.89,158.85,154.23
2018/12/31,$157.74,34499390.0,158.53,159.36,156.48
2018/12/28,$156.23,41740600.0,157.5,158.52,154.55
2018/12/27,$156.15,51608850.0,155.84,156.77,150.07
2018/12/26,$157.17,58133850.0,148.3,157.23,146.72
2018/12/24,$146.83,37169230.0,148.15,151.55,146.59
2018/12/21,$150.73,95497900.0,156.86,158.16,149.63
2018/12/20,$156.83,64398230.0,160.4,162.11,155.3
2018/12/19,$160.89,47597670.0,166.0,167.45,159.09
2018/12/18,$166.07,33753490.0,165.38,167.53,164.39
2018/12/17,$163.94,43250420.0,165.45,168.35,162.73
2018/12/14,$165.48,40620360.0,169.0,169.08,165.28
2018/12/13,$170.95,31754210.0,170.49,172.57,169.55
2018/12/12,$169.1,35474680.0,170.4,171.92,169.02
2018/12/11,$168.63,45968040.0,171.66,171.79,167.0
2018/12/10,$169.6,61759000.0,165.0,170.09,163.33
2018/12/07,$168.49,41678680.0,173.49,174.49,168.3
2018/12/06,$174.72,42704910.0,171.76,174.78,170.42
2018/12/04,$176.69,41141250.0,180.95,182.3899,176.27
2018/12/03,$184.82,40537700.0,184.46,184.94,181.21
2018/11/30,$178.58,39424260.0,180.29,180.33,177.03
2018/11/29,$179.55,41523580.0,182.66,182.8,177.7
2018/11/28,$180.94,45941750.0,176.73,181.29,174.93
2018/11/27,$174.24,41156140.0,171.51,174.77,170.88
2018/11/26,$174.62,44662320.0,174.24,174.95,170.26
2018/11/23,$172.29,23623970.0,174.94,176.595,172.1
2018/11/21,$176.78,31096240.0,179.73,180.27,176.55
2018/11/20,$176.98,67678680.0,178.37,181.47,175.51
2018/11/19,$185.86,41626820.0,190.0,190.7,184.99
2018/11/16,$193.53,36191330.0,190.5,194.9695,189.46
2018/11/15,$191.41,46271660.0,188.39,191.97,186.9
2018/11/14,$186.8,60547340.0,193.9,194.48,185.93
2018/11/13,$192.23,46725710.0,191.63,197.18,191.4501
2018/11/12,$194.17,50991030.0,199.0,199.85,193.79
2018/11/09,$204.47,34317760.0,205.55,206.01,202.25
2018/11/08,$208.49,25289270.0,209.98,210.12,206.75
2018/11/07,$209.95,33291640.0,205.97,210.06,204.13
2018/11/06,$203.77,31774720.0,201.92,204.72,201.69
2018/11/05,$201.59,66072170.0,204.3,204.39,198.17
2018/11/02,$207.48,91046560.0,209.55,213.65,205.43
2018/11/01,$222.22,52954070.0,219.05,222.36,216.81
2018/10/31,$218.86,38016810.0,216.88,220.45,216.62
2018/10/30,$213.3,36487930.0,211.15,215.18,209.27
2018/10/29,$212.24,45713690.0,219.19,219.69,206.09
2018/10/26,$216.3,47191700.0,215.9,220.19,212.67
2018/10/25,$219.8,29027340.0,217.71,221.38,216.75
2018/10/24,$215.09,39992120.0,222.6,224.23,214.54
2018/10/23,$222.73,38681170.0,215.83,223.25,214.7
2018/10/22,$220.65,28751540.0,219.79,223.36,218.94
2018/10/19,$219.31,32874330.0,218.06,221.26,217.43
2018/10/18,$216.02,32389280.0,217.86,219.74,213.0
2018/10/17,$221.19,22692880.0,222.3,222.64,219.34
2018/10/16,$222.15,28802550.0,218.93,222.99,216.7627
2018/10/15,$217.36,30280450.0,221.16,221.83,217.27
2018/10/12,$222.11,39494770.0,220.42,222.88,216.84
2018/10/11,$214.45,52902320.0,214.52,219.5,212.32
2018/10/10,$216.36,41084070.0,225.46,226.35,216.05
2018/10/09,$226.87,26656630.0,223.64,227.27,222.2462
2018/10/08,$223.77,28784550.0,222.21,224.8,220.2
2018/10/05,$224.29,33507770.0,227.96,228.41,220.58
2018/10/04,$227.99,31961120.0,230.78,232.35,226.73
2018/10/03,$232.07,28540490.0,230.05,233.47,229.78
2018/10/02,$229.28,24435010.0,227.25,230.0,226.63
2018/10/01,$227.26,23171020.0,227.95,229.42,226.35
2018/09/28,$225.74,22560440.0,224.79,,
2018/09/27,$224.95,29729270.0,223.82,226.44,223.54
2018/09/26,$220.42,23430370.0,221.0,223.75,219.76
2018/09/25,$222.19,22811140.0,219.75,222.82,219.7
2018/09/24,$220.79,27581270.0,216.82,221.26,216.63
2018/09/21,$217.66,95584080.0,220.78,221.36,217.29
2018/09/20,$220.03,26388050.0,220.24,222.28,219.15
2018/09/19,$218.37,26869880.0,218.5,219.62,215.3
2018/09/18,$218.24,31495630.0,217.79,221.85,217.12
2018/09/17,$217.88,36810120.0,222.15,222.95,217.27
2018/09/14,$223.84,31801970.0,225.75,226.84,222.522
2018/09/13,$226.41,41411350.0,223.52,228.35,222.57
2018/09/12,$221.07,49118510.0,224.94,225.0,219.84
2018/09/11,$223.85,35644510.0,218.01,224.299,216.56
2018/09/10,$218.33,39194720.0,220.95,221.85,216.47
2018/09/07,$221.3,37418910.0,221.85,225.37,220.71
2018/09/06,$223.1,34121240.0,226.23,227.35,221.3
2018/09/05,$226.87,33290830.0,228.99,229.67,225.1
2018/09/04,$228.36,27363960.0,228.41,229.18,226.63
2018/08/31,$227.63,43177540.0,226.51,228.87,226.0
2018/08/30,$225.03,48696960.0,223.25,228.26,222.4
2018/08/29,$222.98,27074260.0,220.15,223.49,219.41
2018/08/28,$219.7,22751390.0,219.01,220.54,218.92
2018/08/27,$217.94,20400770.0,217.15,218.74,216.33
2018/08/24,$216.16,18457720.0,216.6,216.9,215.11
2018/08/23,$215.49,18505780.0,214.65,217.05,214.6
2018/08/22,$215.05,18965930.0,214.1,216.36,213.84
2018/08/21,$215.04,25682700.0,216.8,217.19,214.025
2018/08/20,$215.46,30149410.0,218.1,219.18,215.11
2018/08/17,$217.58,35034410.0,213.44,217.95,213.16
2018/08/16,$213.32,27595310.0,211.75,213.8121,211.47
2018/08/15,$210.24,28595230.0,209.22,210.74,208.33
2018/08/14,$209.75,20679270.0,210.155,210.56,208.26
2018/08/13,$208.87,25864510.0,207.7,210.952,207.7
2018/08/10,$207.53,24592460.0,207.36,209.1,206.67
2018/08/09,$208.88,23389530.0,207.28,209.78,207.2
2018/08/08,$207.25,22493750.0,206.05,207.81,204.52
2018/08/07,$207.11,25525650.0,209.32,209.5,206.76
2018/08/06,$209.07,25396100.0,208.0,209.25,207.07
2018/08/03,$207.99,33408050.0,207.03,208.74,205.4803
2018/08/02,$207.39,62317430.0,200.58,208.38,200.35
2018/08/01,$201.5,67812280.0,199.13,201.76,197.31
2018/07/31,$190.29,37847260.0,190.3,192.14,189.34
2018/07/30,$189.91,20912890.0,191.9,192.2,189.07
2018/07/27,$190.98,23975350.0,194.99,195.19,190.1
2018/07/26,$194.21,19005150.0,194.61,195.96,193.61
2018/07/25,$194.82,16553500.0,193.06,194.85,192.43
2018/07/24,$193.0,18680930.0,192.45,193.6601,192.05
2018/07/23,$191.61,15955820.0,190.68,191.96,189.56
2018/07/20,$191.44,20670830.0,191.78,192.43,190.17
2018/07/19,$191.88,20182050.0,189.69,192.55,189.69
2018/07/18,$190.4,16365720.0,191.78,191.8,189.93
2018/07/17,$191.45,15515000.0,189.75,191.87,189.2
2018/07/16,$190.91,15009800.0,191.52,192.65,190.415
2018/07/13,$191.33,12506830.0,191.08,191.84,190.9
2018/07/12,$191.03,18000180.0,189.53,191.41,189.31
2018/07/11,$187.88,18776390.0,188.5,189.7799,187.61
2018/07/10,$190.35,15801370.0,190.71,191.28,190.1801
2018/07/09,$190.58,19636390.0,189.5,190.68,189.3
2018/07/06,$187.97,17426160.0,185.42,188.43400000000003,185.2
2018/07/05,$185.4,16543880.0,185.26,186.41,184.28
2018/07/03,$183.92,13954810.0,187.79,187.95,183.54
2018/07/02,$187.18,17675210.0,183.82,187.3,183.42
2018/06/29,$185.11,22551660.0,186.29,187.19,182.91
2018/06/28,$185.5,17352380.0,184.1,186.21,183.8
2018/06/27,$184.16,24987260.0,185.228,187.28,184.03
2018/06/26,$184.43,24378480.0,182.99,186.53,182.54
2018/06/25,$182.17,31632320.0,183.4,184.92,180.73
2018/06/22,$184.92,27185130.0,186.12,186.15,184.7
2018/06/21,$185.46,25649240.0,187.25,188.35,184.94
2018/06/20,$186.5,20490090.0,186.35,187.2,185.73
2018/06/19,$185.69,33538550.0,185.14,186.33,183.45
2018/06/18,$188.74,18458410.0,187.88,189.22,187.2
2018/06/15,$188.84,61438290.0,190.03,190.16,188.26
2018/06/14,$190.8,21584720.0,191.55,191.57,190.22
2018/06/13,$190.7,21480120.0,192.42,192.88,190.44
2018/06/12,$192.28,16859020.0,191.385,192.611,191.15
2018/06/11,$191.23,18069930.0,191.35,191.97,190.21
2018/06/08,$191.7,26580710.0,191.17,192.0,189.77
2018/06/07,$193.46,21329170.0,194.14,194.2,192.335
2018/06/06,$193.98,20912820.0,193.63,194.08,191.92
2018/06/05,$193.31,21535570.0,193.065,193.94,192.36
2018/06/04,$191.83,26190620.0,191.635,193.42,191.35
2018/06/01,$190.24,23377690.0,187.991,190.26,187.75
2018/05/31,$186.87,27468700.0,187.22,188.23,186.14
2018/05/30,$187.5,18503410.0,187.72,188.0,186.78
2018/05/29,$187.9,22409110.0,187.6,188.75,186.87
2018/05/25,$188.58,17186760.0,188.23,189.65,187.65
2018/05/24,$188.15,23129400.0,188.77,188.84,186.21
2018/05/23,$188.36,19966590.0,186.35,188.5,185.76
2018/05/22,$187.16,15228270.0,188.375,188.88,186.78
2018/05/21,$187.63,18383080.0,188.0,189.27,186.9106
2018/05/18,$186.31,18083080.0,187.19,187.8102,186.13
2018/05/17,$186.99,17014490.0,188.0,188.91,186.36
2018/05/16,$188.18,19046600.0,186.07,188.46,186.0
2018/05/15,$186.44,23639070.0,186.78,187.07,185.1
2018/05/14,$188.15,20393070.0,189.01,189.53,187.86
2018/05/11,$188.59,26167950.0,189.49,190.06,187.45
2018/05/10,$190.04,27942430.0,187.74,190.37,187.65
2018/05/09,$187.36,23141260.0,186.55,187.4,185.22
2018/05/08,$186.05,28053230.0,184.99,186.22,183.665
2018/05/07,$185.16,42557530.0,185.18,187.67,184.75
2018/05/04,$183.83,56137230.0,178.25,184.25,178.17
2018/05/03,$176.89,33944110.0,175.88,177.5,174.4411
2018/05/02,$176.57,66454720.0,175.225,177.75,173.8
2018/05/01,$169.1,52228910.0,166.41,169.2,165.27
2018/04/30,$16526.0,41976500.0,162.13,167.26,161.84
2018/04/27,$162.32,35617230.0,164.0,164.33,160.63
2018/04/26,$164.22,27850370.0,164.12,165.73,163.37
2018/04/25,$163.65,28331540.0,162.62,165.42,162.41
2018/04/24,$162.94,33674960.0,165.67,166.33,161.2201
2018/04/23,$165.24,36396590.0,166.835,166.92,164.09
2018/04/20,$165.72,65270950.0,170.595,171.2184,165.43
2018/04/19,$172.8,34693280.0,174.95,175.39,172.66
2018/04/18,$177.84,20544600.0,177.81,178.82,176.88
2018/04/17,$178.24,26575010.0,176.49,178.9365,176.41
2018/04/16,$175.82,21561320.0,175.0301,176.19,174.8301
2018/04/13,$174.73,25100510.0,174.78,175.84,173.85
2018/04/12,$174.14,22858840.0,173.41,175.0,173.04
2018/04/11,$172.44,22401040.0,172.23,173.9232,171.7
2018/04/10,$173.25,28567110.0,173.0,174.0,171.53
2018/04/09,$170.05,28976200.0,169.88,173.09,169.845
2018/04/06,$nan,,,,
2018/04/05,$172.8,26750260.0,172.58,174.2304,172.08
2018/04/04,$171.61,34581850.0,164.88,172.01,164.77
2018/04/03,$168.39,30237640.0,167.64,168.7455,164.88
2018/04/02,$166.68,37425640.0,167.88,,
2018/03/29,$167.78,38116290.0,167.805,171.75,166.9
2018/03/28,$166.48,41464880.0,167.25,170.02,165.19
2018/03/27,$168.34,39824200.0,173.68,175.15,166.92
2018/03/26,$172.77,36778560.0,168.07,173.1,166.44
2018/03/23,$164.94,40984540.0,168.39,169.92,164.94
2018/03/22,$168.85,41335980.0,170.0,172.68,168.6
2018/03/21,$171.27,36387880.0,175.04,175.09,171.26
2018/03/20,$175.24,19620520.0,175.24,176.8,174.94
2018/03/19,$175.3,32931110.0,177.32,177.47,173.66
2018/03/16,$178.02,38313330.0,178.65,179.12,177.62
2018/03/15,$178.65,22676520.0,178.5,180.24,178.0701
2018/03/14,$178.44,29334630.0,180.32,180.52,177.81
2018/03/13,$179.97,31464170.0,182.59,183.5,179.24
2018/03/12,$181.72,32191070.0,180.29,182.39,180.21
2018/03/09,$179.98,32130360.0,177.96,180.0,177.39
2018/03/08,$176.94,24518850.0,175.48,177.12,175.07
2018/03/07,$175.03,31686450.0,174.94,175.85,174.27
2018/03/06,$176.67,23273160.0,177.91,178.25,176.13
2018/03/05,$176.82,27825140.0,175.21,177.74,174.52
2018/03/02,$176.21,38426060.0,172.8,176.3,172.45
2018/03/01,$175.0,48706170.0,178.54,179.775,172.66
2018/02/28,$178.12,37568080.0,179.26,180.615,178.05
2018/02/27,$178.39,38885510.0,179.1,180.48,178.16
2018/02/26,$178.97,37353670.0,176.35,179.39,176.21
2018/02/23,$175.5,33772050.0,173.67,175.65,173.54
2018/02/22,$172.5,30953760.0,171.8,173.95,171.71
2018/02/21,$171.07,37378070.0,172.83,174.12,171.01
2018/02/20,$171.85,33690660.0,172.05,174.26,171.42
2018/02/16,$172.43,40113790.0,172.36,174.82,171.77
2018/02/15,$172.99,50908540.0,169.79,173.09,169.0
2018/02/14,$167.37,40382890.0,163.045,167.54,162.88
2018/02/13,$164.34,32483310.0,161.95,164.75,161.65
2018/02/12,$162.71,60774900.0,158.5,163.89,157.51
2018/02/09,$156.41,70583530.0,157.07,157.89,150.24
2018/02/08,$155.15,54145930.0,160.29,161.0,155.03
2018/02/07,$159.54,51467440.0,163.085,163.4,159.0685
2018/02/06,$163.03,68171940.0,154.83,163.72,154.0
2018/02/05,$156.49,72215320.0,159.1,163.88,156.0
2018/02/02,$160.5,85957050.0,166.0,166.8,160.1
2018/02/01,$167.78,44453230.0,167.165,168.62,166.76
2018/01/31,$167.43,32234520.0,166.87,168.4417,166.5
2018/01/30,$166.97,45635470.0,165.525,167.37,164.7
2018/01/29,$167.96,50565420.0,170.16,170.16,167.07
2018/01/26,$171.51,39075250.0,172.0,172.0,170.06
2018/01/25,$171.11,41438280.0,174.505,174.95,170.53
2018/01/24,$174.22,51368540.0,177.25,177.3,173.2
2018/01/23,$177.04,32395870.0,177.3,179.44,176.82
2018/01/22,$177.0,27052000.0,177.3,177.78,176.6016
2018/01/19,$178.46,31306390.0,178.61,179.58,177.41
2018/01/18,$179.26,31087330.0,179.37,180.1,178.25
2018/01/17,$179.1,34260230.0,176.15,179.25,175.07
2018/01/16,$176.19,29512410.0,177.9,179.39,176.14
2018/01/12,$177.09,25302200.0,176.18,177.36,175.65
2018/01/11,$175.28,18653380.0,174.59,175.4886,174.49
2018/01/10,$174.29,23751690.0,173.16,174.3,173.0
2018/01/09,$174.33,21532200.0,174.55,175.06,173.41
2018/01/08,$174.35,20523870.0,174.35,175.61,173.93
2018/01/05,$175.0,23589930.0,173.44,175.37,173.05
2018/01/04,$173.03,22342650.0,172.54,173.47,172.08
2018/01/03,$172.23,29461040.0,172.53,174.55,171.96
2018/01/02,$172.26,25400540.0,170.16,172.3,169.26
2017/12/29,$169.23,25938760.0,170.52,170.59,169.22
2017/12/28,$171.08,16412270.0,171.0,171.85,170.48
2017/12/27,$170.6,21477380.0,170.1,170.78,169.71
2017/12/26,$170.57,33113340.0,170.8,171.47,169.679
2017/12/22,$175.01,16339690.0,174.68,175.424,174.5
2017/12/21,$175.01,20848660.0,174.17,176.02,174.1
2017/12/20,$174.35,23451420.0,174.87,175.42,173.25
2017/12/19,$174.54,27393660.0,175.03,175.39,174.09
2017/12/18,$176.42,29385650.0,174.88,177.2,174.86
2017/12/15,$173.97,40122100.0,173.63,174.17,172.46
2017/12/14,$172.22,20442740.0,172.4,173.13,171.65
2017/12/13,$172.27,23402510.0,172.5,173.54,172.0
2017/12/12,$171.7,19088170.0,172.15,172.39,171.46099999999996
2017/12/11,$172.67,34260890.0,169.2,172.89,168.79
2017/12/08,$169.37,23285760.0,170.49,171.0,168.82
2017/12/07,$169.32,25656110.0,169.03,170.44,168.91
2017/12/06,$169.01,28397810.0,167.5,170.2047,166.46
2017/12/05,$169.64,27315530.0,169.06,171.52,168.4
2017/12/04,$169.8,32512580.0,172.48,172.62,169.63
2017/12/01,$171.05,39735110.0,169.95,171.67,168.5
2017/11/30,$171.85,41484540.0,170.43,172.14,168.44
2017/11/29,$169.48,41459120.0,172.63,172.92,167.16
2017/11/28,$173.07,26387240.0,174.3,174.87,171.86
2017/11/27,$174.09,20591090.0,175.05,175.08,173.34
2017/11/24,$174.97,14026670.0,175.1,175.5,174.6459
2017/11/22,$174.96,25558680.0,173.36,175.0,173.05
2017/11/21,$173.14,25047130.0,170.78,173.7,170.78
2017/11/20,$169.98,16041550.0,170.29,170.56,169.56
2017/11/17,$170.15,21884010.0,171.04,171.39,169.64
2017/11/16,$171.1,23598650.0,171.18,171.87,170.3
2017/11/15,$169.08,28998220.0,169.97,170.3197,168.38
2017/11/14,$171.34,24683350.0,173.04,173.48,171.18
2017/11/13,$173.97,16956290.0,173.5,174.5,173.4
2017/11/10,$174.67,25129510.0,175.11,175.38,174.27
2017/11/09,$175.88,29422610.0,175.11,176.095,173.14
2017/11/08,$176.24,24358920.0,174.66,176.24,174.33
2017/11/07,$174.81,24332120.0,173.91,175.25,173.6
2017/11/06,$174.25,34770480.0,172.365,174.99,171.72
2017/11/03,$172.5,59332210.0,174.0,174.26,171.12
2017/11/02,$168.11,39668100.0,167.64,168.5,165.28
2017/11/01,$166.89,33482970.0,169.87,169.94,165.61
2017/10/31,$169.04,35779520.0,167.9,169.6499,166.94
2017/10/30,$166.72,44651420.0,163.89,168.07,163.72
2017/10/27,$163.05,44387770.0,159.29,163.6,158.7
2017/10/26,$157.41,16916650.0,157.23,157.8295,156.78
2017/10/25,$156.41,21175670.0,156.91,157.55,155.27
2017/10/24,$157.1,17633730.0,156.29,157.42,156.2
2017/10/23,$156.17,21888930.0,156.89,157.69,155.5
2017/10/20,$nan,,,,
2017/10/19,$155.98,42357420.0,156.75,157.08,155.02
